,Características (D),Características (I),Características (S),Características (C),Motivación (D),Motivación (I),Motivación (S),Motivación (C),Bajo Stress (D),Bajo Stress (I),Bajo Stress (S),Bajo Stress (C),Cost to Company,MonthsofEmploymentRounded,Compensation,span,Mean Team Performance,Mean Team Employment in Months,employment span
2325,,,,,,,,,,,,,1993.33,75.0,1285.0,33.0,0.3183254448650976,5.393939393939394,75.27053943612805
2286,65.0,62.0,57.0,42.0,69.0,74.0,58.0,33.0,60.0,60.0,69.0,60.0,1783.33,17.0,1200.0,23.0,0.49878514228654125,7.913043478260869,16.62457134643422
2299,,,,,,,,,,,,,1908.33,3.0,1200.0,22.0,0.4753738595083904,4.454545454545454,3.2854884083862093
2361,67.0,20.0,48.0,90.0,69.0,25.0,65.0,84.0,69.0,30.0,40.0,92.0,1908.33,4.0,1200.0,14.0,,6.785714285714286,4.205425162734348
2349,65.0,55.0,30.0,85.0,59.0,58.0,30.0,93.0,69.0,60.0,40.0,74.0,1908.33,4.0,1200.0,21.0,0.5026625057880563,6.523809523809524,4.205425162734348
2373,,,,,,,,,,,,,1908.33,1.0,1200.0,14.0,0.34671075371902993,8.857142857142858,1.41276001560607
2314,75.0,25.0,33.0,85.0,75.0,25.0,58.0,84.0,79.0,45.0,30.0,84.0,1908.33,4.0,1200.0,18.0,0.27683375398642174,7.611111111111111,4.205425162734348
2125,48.0,62.0,57.0,53.0,40.0,82.0,75.0,55.0,60.0,45.0,40.0,60.0,1533.33,6.0,950.0,4.0,0.10212413505246751,6.25,6.143863323682211
2130,70.0,33.0,48.0,70.0,75.0,74.0,40.0,33.0,69.0,18.0,69.0,92.0,1533.33,2.0,950.0,3.0,,9.0,1.9384381609478634
1974,67.0,72.0,40.0,70.0,45.0,58.0,40.0,84.0,87.0,86.0,60.0,60.0,1533.33,15.0,950.0,2.0,0.23408529148976412,9.0,14.62042341731863
1448,,,,,,,,,,,,,1658.33,80.0,950.0,10.0,0.6591927373755161,4.2,79.90307809195261
1207,70.0,15.0,57.0,70.0,75.0,10.0,75.0,73.0,69.0,30.0,40.0,74.0,1908.33,12.0,1200.0,20.0,0.24753477724951584,4.6,12.287726647364423
888,40.0,90.0,25.0,94.0,40.0,90.0,30.0,84.0,40.0,86.0,30.0,96.0,1533.33,10.0,950.0,11.0,0.22450977284733226,3.0,9.659335920655455
155,,,,,,,,,,,,,1533.33,7.0,950.0,5.0,,2.8,6.735251237191728
725,,,,,,,,,,,,,1533.33,45.0,950.0,2.0,1.326430015065252,3.5,45.47115957206513
770,,,,,,,,,,,,,1533.33,38.0,950.0,4.0,0.36194100421957426,2.75,37.52027762377051
